# EthiopicVariants-X.Y.Z.txt
# Date: 2023-08-19, 19:23:17 EDT
#
# This is a demonstrative file that illustrates Ethiopic Variant data, modeled after Unicode's Standard Variants data file.
#
# Format:
#   Field 0: the variation sequence
#   Field 1: the description of the desired appearance
#   Field 2: where the appearance is only different in particular shaping environments
#	this field lists them. The possible values are: isolate, initial, medial, final.
#	If more than one is present, there are spaces between them.
# =============================

# Variants of Mechiresha Mark (U+F4C3)
F4C3 FE00; short mechiresha mark; # SHORT MECHIRESHA MARK
136A FE05; with rubricated body and without a lower numeral bar; # ETHIOPIC DIGIT TWO WITH RUBRICATED BODY AND WITHOUT A LOWER NUMERAL BAR
136B FE05; with rubricated body and without a lower numeral bar; # ETHIOPIC DIGIT THREE WITH RUBRICATED BODY AND WITHOUT A LOWER NUMERAL BAR
136C FE05; with rubricated body and without a lower numeral bar; # ETHIOPIC DIGIT FOUR WITH RUBRICATED BODY AND WITHOUT A LOWER NUMERAL BAR
136D FE05; with rubricated body and without a lower numeral bar; # ETHIOPIC DIGIT FIVE WITH RUBRICATED BODY AND WITHOUT A LOWER NUMERAL BAR
136E FE05; with rubricated body and without a lower numeral bar; # ETHIOPIC DIGIT SIX WITH RUBRICATED BODY AND WITHOUT A LOWER NUMERAL BAR
136F FE05; with rubricated body and without a lower numeral bar; # ETHIOPIC DIGIT SEVEN WITH RUBRICATED BODY AND WITHOUT A LOWER NUMERAL BAR
1370 FE05; with rubricated body and without a lower numeral bar; # ETHIOPIC DIGIT EIGHT WITH RUBRICATED BODY AND WITHOUT A LOWER NUMERAL BAR
1371 FE05; with rubricated body and without a lower numeral bar; # ETHIOPIC DIGIT NINE WITH RUBRICATED BODY AND WITHOUT A LOWER NUMERAL BAR
1372 FE05; with rubricated body and without a lower numeral bar; # ETHIOPIC NUMBER TEN WITH RUBRICATED BODY AND WITHOUT A LOWER NUMERAL BAR
1373 FE05; with rubricated body and without a lower numeral bar; # ETHIOPIC NUMBER TWENTY WITH RUBRICATED BODY AND WITHOUT A LOWER NUMERAL BAR
1374 FE05; with rubricated body and without a lower numeral bar; # ETHIOPIC NUMBER THIRTY WITH RUBRICATED BODY AND WITHOUT A LOWER NUMERAL BAR
1375 FE05; with rubricated body and without a lower numeral bar; # ETHIOPIC NUMBER FORTY WITH RUBRICATED BODY AND WITHOUT A LOWER NUMERAL BAR
1376 FE05; with rubricated body and without a lower numeral bar; # ETHIOPIC NUMBER FIFTY WITH RUBRICATED BODY AND WITHOUT A LOWER NUMERAL BAR
1377 FE05; with rubricated body and without a lower numeral bar; # ETHIOPIC NUMBER SIXTY WITH RUBRICATED BODY AND WITHOUT A LOWER NUMERAL BAR
1378 FE05; with rubricated body and without a lower numeral bar; # ETHIOPIC NUMBER SEVENTY WITH RUBRICATED BODY AND WITHOUT A LOWER NUMERAL BAR
1379 FE05; with rubricated body and without a lower numeral bar; # ETHIOPIC NUMBER EIGHTY WITH RUBRICATED BODY AND WITHOUT A LOWER NUMERAL BAR
137A FE05; with rubricated body and without a lower numeral bar; # ETHIOPIC NUMBER NINETY WITH RUBRICATED BODY AND WITHOUT A LOWER NUMERAL BAR
137B FE05; with rubricated body and without a lower numeral bar; # ETHIOPIC NUMBER HUNDRED WITH RUBRICATED BODY AND WITHOUT A LOWER NUMERAL BAR
137C FE05; with rubricated body and without a lower numeral bar; # ETHIOPIC NUMBER TEN THOUSAND WITH RUBRICATED BODY AND WITHOUT A LOWER NUMERAL BAR
F70F FE05; with rubricated body and without a lower numeral bar; # ETHIOPIC NUMBER CONJUNCTIVE TEN WITH RUBRICATED BODY AND WITHOUT A LOWER NUMERAL BAR
1369 FE06; with rubricated serifs; # ETHIOPIC DIGIT ONE WITH RUBRICATED SERIFS
136A FE06; with rubricated serifs; # ETHIOPIC DIGIT TWO WITH RUBRICATED SERIFS
136B FE06; with rubricated serifs; # ETHIOPIC DIGIT THREE WITH RUBRICATED SERIFS
136C FE06; with rubricated serifs; # ETHIOPIC DIGIT FOUR WITH RUBRICATED SERIFS
136D FE06; with rubricated serifs; # ETHIOPIC DIGIT FIVE WITH RUBRICATED SERIFS
136E FE06; with rubricated serifs; # ETHIOPIC DIGIT SIX WITH RUBRICATED SERIFS
136F FE06; with rubricated serifs; # ETHIOPIC DIGIT SEVEN WITH RUBRICATED SERIFS
1370 FE06; with rubricated serifs; # ETHIOPIC DIGIT EIGHT WITH RUBRICATED SERIFS
1371 FE06; with rubricated serifs; # ETHIOPIC DIGIT NINE WITH RUBRICATED SERIFS
1372 FE06; with rubricated serifs; # ETHIOPIC NUMBER TEN WITH RUBRICATED SERIFS
1373 FE06; with rubricated serifs; # ETHIOPIC NUMBER TWENTY WITH RUBRICATED SERIFS
1374 FE06; with rubricated serifs; # ETHIOPIC NUMBER THIRTY WITH RUBRICATED SERIFS
1375 FE06; with rubricated serifs; # ETHIOPIC NUMBER FORTY WITH RUBRICATED SERIFS
1376 FE06; with rubricated serifs; # ETHIOPIC NUMBER FIFTY WITH RUBRICATED SERIFS
1377 FE06; with rubricated serifs; # ETHIOPIC NUMBER SIXTY WITH RUBRICATED SERIFS
1378 FE06; with rubricated serifs; # ETHIOPIC NUMBER SEVENTY WITH RUBRICATED SERIFS
1379 FE06; with rubricated serifs; # ETHIOPIC NUMBER EIGHTY WITH RUBRICATED SERIFS
137A FE06; with rubricated serifs; # ETHIOPIC NUMBER NINETY WITH RUBRICATED SERIFS
137B FE06; with rubricated serifs; # ETHIOPIC NUMBER HUNDRED WITH RUBRICATED SERIFS
137C FE06; with rubricated serifs; # ETHIOPIC NUMBER TEN THOUSAND WITH RUBRICATED SERIFS
F70F FE06; with rubricated serifs; # ETHIOPIC NUMBER CONJUNCTIVE TEN WITH RUBRICATED SERIFS
1369 FE07; with rubricated serifs and without a lower numeral bar; # ETHIOPIC DIGIT ONE WITH RUBRICATED SERIFS AND WITHOUT A LOWER NUMERAL BAR
136A FE07; with rubricated serifs and without a lower numeral bar; # ETHIOPIC DIGIT TWO WITH RUBRICATED SERIFS AND WITHOUT A LOWER NUMERAL BAR
136B FE07; with rubricated serifs and without a lower numeral bar; # ETHIOPIC DIGIT THREE WITH RUBRICATED SERIFS AND WITHOUT A LOWER NUMERAL BAR
136C FE07; with rubricated serifs and without a lower numeral bar; # ETHIOPIC DIGIT FOUR WITH RUBRICATED SERIFS AND WITHOUT A LOWER NUMERAL BAR
136D FE07; with rubricated serifs and without a lower numeral bar; # ETHIOPIC DIGIT FIVE WITH RUBRICATED SERIFS AND WITHOUT A LOWER NUMERAL BAR
136E FE07; with rubricated serifs and without a lower numeral bar; # ETHIOPIC DIGIT SIX WITH RUBRICATED SERIFS AND WITHOUT A LOWER NUMERAL BAR
136F FE07; with rubricated serifs and without a lower numeral bar; # ETHIOPIC DIGIT SEVEN WITH RUBRICATED SERIFS AND WITHOUT A LOWER NUMERAL BAR
1370 FE07; with rubricated serifs and without a lower numeral bar; # ETHIOPIC DIGIT EIGHT WITH RUBRICATED SERIFS AND WITHOUT A LOWER NUMERAL BAR
1371 FE07; with rubricated serifs and without a lower numeral bar; # ETHIOPIC DIGIT NINE WITH RUBRICATED SERIFS AND WITHOUT A LOWER NUMERAL BAR
1372 FE07; with rubricated serifs and without a lower numeral bar; # ETHIOPIC NUMBER TEN WITH RUBRICATED SERIFS AND WITHOUT A LOWER NUMERAL BAR
1373 FE07; with rubricated serifs and without a lower numeral bar; # ETHIOPIC NUMBER TWENTY WITH RUBRICATED SERIFS AND WITHOUT A LOWER NUMERAL BAR
1374 FE07; with rubricated serifs and without a lower numeral bar; # ETHIOPIC NUMBER THIRTY WITH RUBRICATED SERIFS AND WITHOUT A LOWER NUMERAL BAR
1375 FE07; with rubricated serifs and without a lower numeral bar; # ETHIOPIC NUMBER FORTY WITH RUBRICATED SERIFS AND WITHOUT A LOWER NUMERAL BAR
1376 FE07; with rubricated serifs and without a lower numeral bar; # ETHIOPIC NUMBER FIFTY WITH RUBRICATED SERIFS AND WITHOUT A LOWER NUMERAL BAR
1377 FE07; with rubricated serifs and without a lower numeral bar; # ETHIOPIC NUMBER SIXTY WITH RUBRICATED SERIFS AND WITHOUT A LOWER NUMERAL BAR
1378 FE07; with rubricated serifs and without a lower numeral bar; # ETHIOPIC NUMBER SEVENTY WITH RUBRICATED SERIFS AND WITHOUT A LOWER NUMERAL BAR
1379 FE07; with rubricated serifs and without a lower numeral bar; # ETHIOPIC NUMBER EIGHTY WITH RUBRICATED SERIFS AND WITHOUT A LOWER NUMERAL BAR
137A FE07; with rubricated serifs and without a lower numeral bar; # ETHIOPIC NUMBER NINETY WITH RUBRICATED SERIFS AND WITHOUT A LOWER NUMERAL BAR
137B FE07; with rubricated serifs and without a lower numeral bar; # ETHIOPIC NUMBER HUNDRED WITH RUBRICATED SERIFS AND WITHOUT A LOWER NUMERAL BAR
137C FE07; with rubricated serifs and without a lower numeral bar; # ETHIOPIC NUMBER TEN THOUSAND WITH RUBRICATED SERIFS AND WITHOUT A LOWER NUMERAL BAR
F70F FE07; with rubricated serifs and without a lower numeral bar; # ETHIOPIC NUMBER CONJUNCTIVE TEN WITH RUBRICATED SERIFS AND WITHOUT A LOWER NUMERAL BAR
1369 FE08; rubricated with non-rubricated numeral bars; # ETHIOPIC DIGIT ONE RUBRICATED WITH NON-RUBRICATED NUMERAL BARS
136A FE08; rubricated with non-rubricated numeral bars; # ETHIOPIC DIGIT TWO RUBRICATED WITH NON-RUBRICATED NUMERAL BARS
136B FE08; rubricated with non-rubricated numeral bars; # ETHIOPIC DIGIT THREE RUBRICATED WITH NON-RUBRICATED NUMERAL BARS
136C FE08; rubricated with non-rubricated numeral bars; # ETHIOPIC DIGIT FOUR RUBRICATED WITH NON-RUBRICATED NUMERAL BARS
136D FE08; rubricated with non-rubricated numeral bars; # ETHIOPIC DIGIT FIVE RUBRICATED WITH NON-RUBRICATED NUMERAL BARS
136E FE08; rubricated with non-rubricated numeral bars; # ETHIOPIC DIGIT SIX RUBRICATED WITH NON-RUBRICATED NUMERAL BARS
136F FE08; rubricated with non-rubricated numeral bars; # ETHIOPIC DIGIT SEVEN RUBRICATED WITH NON-RUBRICATED NUMERAL BARS
1370 FE08; rubricated with non-rubricated numeral bars; # ETHIOPIC DIGIT EIGHT RUBRICATED WITH NON-RUBRICATED NUMERAL BARS
1371 FE08; rubricated with non-rubricated numeral bars; # ETHIOPIC DIGIT NINE RUBRICATED WITH NON-RUBRICATED NUMERAL BARS
1372 FE08; rubricated with non-rubricated numeral bars; # ETHIOPIC NUMBER TEN RUBRICATED WITH NON-RUBRICATED NUMERAL BARS
1373 FE08; rubricated with non-rubricated numeral bars; # ETHIOPIC NUMBER TWENTY RUBRICATED WITH NON-RUBRICATED NUMERAL BARS
1374 FE08; rubricated with non-rubricated numeral bars; # ETHIOPIC NUMBER THIRTY RUBRICATED WITH NON-RUBRICATED NUMERAL BARS
1375 FE08; rubricated with non-rubricated numeral bars; # ETHIOPIC NUMBER FORTY RUBRICATED WITH NON-RUBRICATED NUMERAL BARS
1376 FE08; rubricated with non-rubricated numeral bars; # ETHIOPIC NUMBER FIFTY RUBRICATED WITH NON-RUBRICATED NUMERAL BARS
1377 FE08; rubricated with non-rubricated numeral bars; # ETHIOPIC NUMBER SIXTY RUBRICATED WITH NON-RUBRICATED NUMERAL BARS
1378 FE08; rubricated with non-rubricated numeral bars; # ETHIOPIC NUMBER SEVENTY RUBRICATED WITH NON-RUBRICATED NUMERAL BARS
1379 FE08; rubricated with non-rubricated numeral bars; # ETHIOPIC NUMBER EIGHTY RUBRICATED WITH NON-RUBRICATED NUMERAL BARS
137A FE08; rubricated with non-rubricated numeral bars; # ETHIOPIC NUMBER NINETY RUBRICATED WITH NON-RUBRICATED NUMERAL BARS
137B FE08; rubricated with non-rubricated numeral bars; # ETHIOPIC NUMBER HUNDRED RUBRICATED WITH NON-RUBRICATED NUMERAL BARS
137C FE08; rubricated with non-rubricated numeral bars; # ETHIOPIC NUMBER TEN THOUSAND RUBRICATED WITH NON-RUBRICATED NUMERAL BARS
F70F FE08; rubricated with non-rubricated numeral bars; # ETHIOPIC NUMBER CONJUNCTIVE TEN RUBRICATED WITH NON-RUBRICATED NUMERAL BARS
1369 FE09; with rubricated body and rubricated serifs and without a lower numeral bar; # ETHIOPIC DIGIT ONE WITH RUBRICATED BODY AND RUBRICATED SERIFS AND WITHOUT A LOWER NUMERAL BAR
136A FE09; with rubricated body and rubricated serifs and without a lower numeral bar; # ETHIOPIC DIGIT TWO WITH RUBRICATED BODY AND RUBRICATED SERIFS AND WITHOUT A LOWER NUMERAL BAR
136B FE09; with rubricated body and rubricated serifs and without a lower numeral bar; # ETHIOPIC DIGIT THREE WITH RUBRICATED BODY AND RUBRICATED SERIFS AND WITHOUT A LOWER NUMERAL BAR
136C FE09; with rubricated body and rubricated serifs and without a lower numeral bar; # ETHIOPIC DIGIT FOUR WITH RUBRICATED BODY AND RUBRICATED SERIFS AND WITHOUT A LOWER NUMERAL BAR
136D FE09; with rubricated body and rubricated serifs and without a lower numeral bar; # ETHIOPIC DIGIT FIVE WITH RUBRICATED BODY AND RUBRICATED SERIFS AND WITHOUT A LOWER NUMERAL BAR
136E FE09; with rubricated body and rubricated serifs and without a lower numeral bar; # ETHIOPIC DIGIT SIX WITH RUBRICATED BODY AND RUBRICATED SERIFS AND WITHOUT A LOWER NUMERAL BAR
136F FE09; with rubricated body and rubricated serifs and without a lower numeral bar; # ETHIOPIC DIGIT SEVEN WITH RUBRICATED BODY AND RUBRICATED SERIFS AND WITHOUT A LOWER NUMERAL BAR
1370 FE09; with rubricated body and rubricated serifs and without a lower numeral bar; # ETHIOPIC DIGIT EIGHT WITH RUBRICATED BODY AND RUBRICATED SERIFS AND WITHOUT A LOWER NUMERAL BAR
1371 FE09; with rubricated body and rubricated serifs and without a lower numeral bar; # ETHIOPIC DIGIT NINE WITH RUBRICATED BODY AND RUBRICATED SERIFS AND WITHOUT A LOWER NUMERAL BAR
1372 FE09; with rubricated body and rubricated serifs and without a lower numeral bar; # ETHIOPIC NUMBER TEN WITH RUBRICATED BODY AND RUBRICATED SERIFS AND WITHOUT A LOWER NUMERAL BAR
1373 FE09; with rubricated body and rubricated serifs and without a lower numeral bar; # ETHIOPIC NUMBER TWENTY WITH RUBRICATED BODY AND RUBRICATED SERIFS AND WITHOUT A LOWER NUMERAL BAR
1374 FE09; with rubricated body and rubricated serifs and without a lower numeral bar; # ETHIOPIC NUMBER THIRTY WITH RUBRICATED BODY AND RUBRICATED SERIFS AND WITHOUT A LOWER NUMERAL BAR
1375 FE09; with rubricated body and rubricated serifs and without a lower numeral bar; # ETHIOPIC NUMBER FORTY WITH RUBRICATED BODY AND RUBRICATED SERIFS AND WITHOUT A LOWER NUMERAL BAR
1376 FE09; with rubricated body and rubricated serifs and without a lower numeral bar; # ETHIOPIC NUMBER FIFTY WITH RUBRICATED BODY AND RUBRICATED SERIFS AND WITHOUT A LOWER NUMERAL BAR
1377 FE09; with rubricated body and rubricated serifs and without a lower numeral bar; # ETHIOPIC NUMBER SIXTY WITH RUBRICATED BODY AND RUBRICATED SERIFS AND WITHOUT A LOWER NUMERAL BAR
1378 FE09; with rubricated body and rubricated serifs and without a lower numeral bar; # ETHIOPIC NUMBER SEVENTY WITH RUBRICATED BODY AND RUBRICATED SERIFS AND WITHOUT A LOWER NUMERAL BAR
1379 FE09; with rubricated body and rubricated serifs and without a lower numeral bar; # ETHIOPIC NUMBER EIGHTY WITH RUBRICATED BODY AND RUBRICATED SERIFS AND WITHOUT A LOWER NUMERAL BAR
137A FE09; with rubricated body and rubricated serifs and without a lower numeral bar; # ETHIOPIC NUMBER NINETY WITH RUBRICATED BODY AND RUBRICATED SERIFS AND WITHOUT A LOWER NUMERAL BAR
137B FE09; with rubricated body and rubricated serifs and without a lower numeral bar; # ETHIOPIC NUMBER HUNDRED WITH RUBRICATED BODY AND RUBRICATED SERIFS AND WITHOUT A LOWER NUMERAL BAR
137C FE09; with rubricated body and rubricated serifs and without a lower numeral bar; # ETHIOPIC NUMBER TEN THOUSAND WITH RUBRICATED BODY AND RUBRICATED SERIFS AND WITHOUT A LOWER NUMERAL BAR
F70F FE09; with rubricated body and rubricated serifs and without a lower numeral bar; # ETHIOPIC NUMBER CONJUNCTIVE TEN WITH RUBRICATED BODY AND RUBRICATED SERIFS AND WITHOUT A LOWER NUMERAL BAR
1369 FE0A; rubricated with non-rubricated serifs; # ETHIOPIC DIGIT ONE RUBRICATED WITH NON-RUBRICATED SERIFS
136A FE0A; rubricated with non-rubricated serifs; # ETHIOPIC DIGIT TWO RUBRICATED WITH NON-RUBRICATED SERIFS
136B FE0A; rubricated with non-rubricated serifs; # ETHIOPIC DIGIT THREE RUBRICATED WITH NON-RUBRICATED SERIFS
136C FE0A; rubricated with non-rubricated serifs; # ETHIOPIC DIGIT FOUR RUBRICATED WITH NON-RUBRICATED SERIFS
136D FE0A; rubricated with non-rubricated serifs; # ETHIOPIC DIGIT FIVE RUBRICATED WITH NON-RUBRICATED SERIFS
136E FE0A; rubricated with non-rubricated serifs; # ETHIOPIC DIGIT SIX RUBRICATED WITH NON-RUBRICATED SERIFS
136F FE0A; rubricated with non-rubricated serifs; # ETHIOPIC DIGIT SEVEN RUBRICATED WITH NON-RUBRICATED SERIFS
1370 FE0A; rubricated with non-rubricated serifs; # ETHIOPIC DIGIT EIGHT RUBRICATED WITH NON-RUBRICATED SERIFS
1371 FE0A; rubricated with non-rubricated serifs; # ETHIOPIC DIGIT NINE RUBRICATED WITH NON-RUBRICATED SERIFS
1372 FE0A; rubricated with non-rubricated serifs; # ETHIOPIC NUMBER TEN RUBRICATED WITH NON-RUBRICATED SERIFS
1373 FE0A; rubricated with non-rubricated serifs; # ETHIOPIC NUMBER TWENTY RUBRICATED WITH NON-RUBRICATED SERIFS
1374 FE0A; rubricated with non-rubricated serifs; # ETHIOPIC NUMBER THIRTY RUBRICATED WITH NON-RUBRICATED SERIFS
1375 FE0A; rubricated with non-rubricated serifs; # ETHIOPIC NUMBER FORTY RUBRICATED WITH NON-RUBRICATED SERIFS
1376 FE0A; rubricated with non-rubricated serifs; # ETHIOPIC NUMBER FIFTY RUBRICATED WITH NON-RUBRICATED SERIFS
1377 FE0A; rubricated with non-rubricated serifs; # ETHIOPIC NUMBER SIXTY RUBRICATED WITH NON-RUBRICATED SERIFS
1378 FE0A; rubricated with non-rubricated serifs; # ETHIOPIC NUMBER SEVENTY RUBRICATED WITH NON-RUBRICATED SERIFS
1379 FE0A; rubricated with non-rubricated serifs; # ETHIOPIC NUMBER EIGHTY RUBRICATED WITH NON-RUBRICATED SERIFS
137A FE0A; rubricated with non-rubricated serifs; # ETHIOPIC NUMBER NINETY RUBRICATED WITH NON-RUBRICATED SERIFS
137B FE0A; rubricated with non-rubricated serifs; # ETHIOPIC NUMBER HUNDRED RUBRICATED WITH NON-RUBRICATED SERIFS
137C FE0A; rubricated with non-rubricated serifs; # ETHIOPIC NUMBER TEN THOUSAND RUBRICATED WITH NON-RUBRICATED SERIFS
F70F FE0A; rubricated with non-rubricated serifs; # ETHIOPIC NUMBER CONJUNCTIVE TEN RUBRICATED WITH NON-RUBRICATED SERIFS
1369 FE0B; rubricated with non-rubricated serifs and without a lower numeral bar; # ETHIOPIC DIGIT ONE RUBRICATED WITH NON-RUBRICATED SERIFS AND WITHOUT A LOWER NUMERAL BAR
136A FE0B; rubricated with non-rubricated serifs and without a lower numeral bar; # ETHIOPIC DIGIT TWO RUBRICATED WITH NON-RUBRICATED SERIFS AND WITHOUT A LOWER NUMERAL BAR
136B FE0B; rubricated with non-rubricated serifs and without a lower numeral bar; # ETHIOPIC DIGIT THREE RUBRICATED WITH NON-RUBRICATED SERIFS AND WITHOUT A LOWER NUMERAL BAR
136C FE0B; rubricated with non-rubricated serifs and without a lower numeral bar; # ETHIOPIC DIGIT FOUR RUBRICATED WITH NON-RUBRICATED SERIFS AND WITHOUT A LOWER NUMERAL BAR
136D FE0B; rubricated with non-rubricated serifs and without a lower numeral bar; # ETHIOPIC DIGIT FIVE RUBRICATED WITH NON-RUBRICATED SERIFS AND WITHOUT A LOWER NUMERAL BAR
136E FE0B; rubricated with non-rubricated serifs and without a lower numeral bar; # ETHIOPIC DIGIT SIX RUBRICATED WITH NON-RUBRICATED SERIFS AND WITHOUT A LOWER NUMERAL BAR
136F FE0B; rubricated with non-rubricated serifs and without a lower numeral bar; # ETHIOPIC DIGIT SEVEN RUBRICATED WITH NON-RUBRICATED SERIFS AND WITHOUT A LOWER NUMERAL BAR
1370 FE0B; rubricated with non-rubricated serifs and without a lower numeral bar; # ETHIOPIC DIGIT EIGHT RUBRICATED WITH NON-RUBRICATED SERIFS AND WITHOUT A LOWER NUMERAL BAR
1371 FE0B; rubricated with non-rubricated serifs and without a lower numeral bar; # ETHIOPIC DIGIT NINE RUBRICATED WITH NON-RUBRICATED SERIFS AND WITHOUT A LOWER NUMERAL BAR
1372 FE0B; rubricated with non-rubricated serifs and without a lower numeral bar; # ETHIOPIC NUMBER TEN RUBRICATED WITH NON-RUBRICATED SERIFS AND WITHOUT A LOWER NUMERAL BAR
1373 FE0B; rubricated with non-rubricated serifs and without a lower numeral bar; # ETHIOPIC NUMBER TWENTY RUBRICATED WITH NON-RUBRICATED SERIFS AND WITHOUT A LOWER NUMERAL BAR
1374 FE0B; rubricated with non-rubricated serifs and without a lower numeral bar; # ETHIOPIC NUMBER THIRTY RUBRICATED WITH NON-RUBRICATED SERIFS AND WITHOUT A LOWER NUMERAL BAR
1375 FE0B; rubricated with non-rubricated serifs and without a lower numeral bar; # ETHIOPIC NUMBER FORTY RUBRICATED WITH NON-RUBRICATED SERIFS AND WITHOUT A LOWER NUMERAL BAR
1376 FE0B; rubricated with non-rubricated serifs and without a lower numeral bar; # ETHIOPIC NUMBER FIFTY RUBRICATED WITH NON-RUBRICATED SERIFS AND WITHOUT A LOWER NUMERAL BAR
1377 FE0B; rubricated with non-rubricated serifs and without a lower numeral bar; # ETHIOPIC NUMBER SIXTY RUBRICATED WITH NON-RUBRICATED SERIFS AND WITHOUT A LOWER NUMERAL BAR
1378 FE0B; rubricated with non-rubricated serifs and without a lower numeral bar; # ETHIOPIC NUMBER SEVENTY RUBRICATED WITH NON-RUBRICATED SERIFS AND WITHOUT A LOWER NUMERAL BAR
1379 FE0B; rubricated with non-rubricated serifs and without a lower numeral bar; # ETHIOPIC NUMBER EIGHTY RUBRICATED WITH NON-RUBRICATED SERIFS AND WITHOUT A LOWER NUMERAL BAR
137A FE0B; rubricated with non-rubricated serifs and without a lower numeral bar; # ETHIOPIC NUMBER NINETY RUBRICATED WITH NON-RUBRICATED SERIFS AND WITHOUT A LOWER NUMERAL BAR
137B FE0B; rubricated with non-rubricated serifs and without a lower numeral bar; # ETHIOPIC NUMBER HUNDRED RUBRICATED WITH NON-RUBRICATED SERIFS AND WITHOUT A LOWER NUMERAL BAR
137C FE0B; rubricated with non-rubricated serifs and without a lower numeral bar; # ETHIOPIC NUMBER TEN THOUSAND RUBRICATED WITH NON-RUBRICATED SERIFS AND WITHOUT A LOWER NUMERAL BAR
F70F FE0B; rubricated with non-rubricated serifs and without a lower numeral bar; # ETHIOPIC NUMBER CONJUNCTIVE TEN RUBRICATED WITH NON-RUBRICATED SERIFS AND WITHOUT A LOWER NUMERAL BAR
1369 FE0C; with rubricated body and rubricated square serifs; # ETHIOPIC DIGIT ONE WITH RUBRICATED BODY AND RUBRICATED SQUARE SERIFS
136A FE0C; with rubricated body and rubricated square serifs; # ETHIOPIC DIGIT TWO WITH RUBRICATED BODY AND RUBRICATED SQUARE SERIFS
136B FE0C; with rubricated body and rubricated square serifs; # ETHIOPIC DIGIT THREE WITH RUBRICATED BODY AND RUBRICATED SQUARE SERIFS
136C FE0C; with rubricated body and rubricated square serifs; # ETHIOPIC DIGIT FOUR WITH RUBRICATED BODY AND RUBRICATED SQUARE SERIFS
136D FE0C; with rubricated body and rubricated square serifs; # ETHIOPIC DIGIT FIVE WITH RUBRICATED BODY AND RUBRICATED SQUARE SERIFS
136E FE0C; with rubricated body and rubricated square serifs; # ETHIOPIC DIGIT SIX WITH RUBRICATED BODY AND RUBRICATED SQUARE SERIFS
136F FE0C; with rubricated body and rubricated square serifs; # ETHIOPIC DIGIT SEVEN WITH RUBRICATED BODY AND RUBRICATED SQUARE SERIFS
1370 FE0C; with rubricated body and rubricated square serifs; # ETHIOPIC DIGIT EIGHT WITH RUBRICATED BODY AND RUBRICATED SQUARE SERIFS
1371 FE0C; with rubricated body and rubricated square serifs; # ETHIOPIC DIGIT NINE WITH RUBRICATED BODY AND RUBRICATED SQUARE SERIFS
1372 FE0C; with rubricated body and rubricated square serifs; # ETHIOPIC NUMBER TEN WITH RUBRICATED BODY AND RUBRICATED SQUARE SERIFS
1373 FE0C; with rubricated body and rubricated square serifs; # ETHIOPIC NUMBER TWENTY WITH RUBRICATED BODY AND RUBRICATED SQUARE SERIFS
1374 FE0C; with rubricated body and rubricated square serifs; # ETHIOPIC NUMBER THIRTY WITH RUBRICATED BODY AND RUBRICATED SQUARE SERIFS
1375 FE0C; with rubricated body and rubricated square serifs; # ETHIOPIC NUMBER FORTY WITH RUBRICATED BODY AND RUBRICATED SQUARE SERIFS
1376 FE0C; with rubricated body and rubricated square serifs; # ETHIOPIC NUMBER FIFTY WITH RUBRICATED BODY AND RUBRICATED SQUARE SERIFS
1377 FE0C; with rubricated body and rubricated square serifs; # ETHIOPIC NUMBER SIXTY WITH RUBRICATED BODY AND RUBRICATED SQUARE SERIFS
1378 FE0C; with rubricated body and rubricated square serifs; # ETHIOPIC NUMBER SEVENTY WITH RUBRICATED BODY AND RUBRICATED SQUARE SERIFS
1379 FE0C; with rubricated body and rubricated square serifs; # ETHIOPIC NUMBER EIGHTY WITH RUBRICATED BODY AND RUBRICATED SQUARE SERIFS
137A FE0C; with rubricated body and rubricated square serifs; # ETHIOPIC NUMBER NINETY WITH RUBRICATED BODY AND RUBRICATED SQUARE SERIFS
137B FE0C; with rubricated body and rubricated square serifs; # ETHIOPIC NUMBER HUNDRED WITH RUBRICATED BODY AND RUBRICATED SQUARE SERIFS
137C FE0C; with rubricated body and rubricated square serifs; # ETHIOPIC NUMBER TEN THOUSAND WITH RUBRICATED BODY AND RUBRICATED SQUARE SERIFS
F70F FE0C; with rubricated body and rubricated square serifs; # ETHIOPIC NUMBER CONJUNCTIVE TEN WITH RUBRICATED BODY AND RUBRICATED SQUARE SERIFS
1369 FE0D; with rubricated body and rubricated square serifs and without a lower numeral bar; # ETHIOPIC DIGIT ONE WITH RUBRICATED BODY AND RUBRICATED SQUARE SERIFS AND WITHOUT A LOWER NUMERAL BAR
136A FE0D; with rubricated body and rubricated square serifs and without a lower numeral bar; # ETHIOPIC DIGIT TWO WITH RUBRICATED BODY AND RUBRICATED SQUARE SERIFS AND WITHOUT A LOWER NUMERAL BAR
136B FE0D; with rubricated body and rubricated square serifs and without a lower numeral bar; # ETHIOPIC DIGIT THREE WITH RUBRICATED BODY AND RUBRICATED SQUARE SERIFS AND WITHOUT A LOWER NUMERAL BAR
136C FE0D; with rubricated body and rubricated square serifs and without a lower numeral bar; # ETHIOPIC DIGIT FOUR WITH RUBRICATED BODY AND RUBRICATED SQUARE SERIFS AND WITHOUT A LOWER NUMERAL BAR
136D FE0D; with rubricated body and rubricated square serifs and without a lower numeral bar; # ETHIOPIC DIGIT FIVE WITH RUBRICATED BODY AND RUBRICATED SQUARE SERIFS AND WITHOUT A LOWER NUMERAL BAR
136E FE0D; with rubricated body and rubricated square serifs and without a lower numeral bar; # ETHIOPIC DIGIT SIX WITH RUBRICATED BODY AND RUBRICATED SQUARE SERIFS AND WITHOUT A LOWER NUMERAL BAR
